ann_term	sum	annotation
PF00749	153	tRNA synthetases class I (E and Q), catalytic domain
PF00750	89	tRNA synthetases class I (R)
PF00751	160	DM DNA binding domain
PF00752	219	XPG N-terminal domain
PF00753	323	Metallo-beta-lactamase superfamily
PF00754	1463	F5/8 type C domain
PF00755	303	Choline/Carnitine o-acyltransferase
PF00756	66	Putative esterase
PF00757	132	Furin-like cysteine rich region
PF00758	21	Erythropoietin/thrombopoietin
PF00759	161	Glycosyl hydrolase family 9
PF00762	57	Ferrochelatase
PF00763	148	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	48	Arginosuccinate synthase
PF00766	45	Electron transfer flavoprotein FAD-binding domain
PF00768	1	D-alanyl-D-alanine carboxypeptidase
PF00769	87	Ezrin/radixin/moesin family
PF00771	1	FHIPEP family
PF00773	175	RNB domain
PF00775	33	Dioxygenase
PF00777	499	Glycosyltransferase family 29 (sialyltransferase)
PF00778	128	DIX domain
PF00779	108	BTK motif
PF00780	315	CNH domain
PF00781	433	Diacylglycerol kinase catalytic domain
PF00782	1090	Dual specificity phosphatase, catalytic domain
PF00784	310	MyTH4 domain
PF00786	349	P21-Rho-binding domain
PF00787	1537	PX domain
PF00788	673	Ras association (RalGDS/AF-6) domain
PF00789	379	UBX domain
PF00790	259	VHS domain
PF00791	297	ZU5 domain
PF00792	181	Phosphoinositide 3-kinase C2
PF00793	38	DAHP synthetase I family
PF00794	141	PI3-kinase family, ras-binding domain
PF00795	301	Carbon-nitrogen hydrolase
PF00796	2	Photosystem I reaction centre subunit VIII
PF00797	53	N-acetyltransferase
PF00800	63	Prephenate dehydratase
PF00801	355	PKD domain
PF00804	223	Syntaxin
PF00805	135	Pentapeptide repeats (8 copies)
PF00806	933	Pumilio-family RNA binding repeat
PF00807	5	Apidaecin
PF00808	396	Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00809	66	Pterin binding enzyme
PF00810	112	ER lumen protein retaining receptor
PF00811	66	Ependymin
PF00812	132	Ephrin
PF00814	95	Glycoprotease family
PF00815	23	Histidinol dehydrogenase
PF00817	167	impB/mucB/samB family
PF00821	48	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
PF00822	641	PMP-22/EMP/MP20/Claudin family
PF00825	1	Ribonuclease P
PF00827	62	Ribosomal L15
PF00828	121	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF00829	57	Ribosomal prokaryotic L21 protein
PF00830	45	Ribosomal L28 family
PF00831	61	Ribosomal L29 protein
PF00832	79	Ribosomal L39 protein
PF00833	64	Ribosomal S17
PF00834	61	Ribulose-phosphate 3 epimerase family
PF00835	46	SNAP-25 family
PF00836	73	Stathmin family
PF00837	68	Iodothyronine deiodinase
PF00838	56	Translationally controlled tumour protein
PF00839	439	Cysteine rich repeat
PF00840	41	Glycosyl hydrolase family 7
PF00841	5	Sperm histone P2
PF00842	2	Alanine racemase, C-terminal domain
PF00847	858	AP2 domain
PF00848	13	Ring hydroxylating alpha subunit (catalytic domain)
PF00849	205	RNA pseudouridylate synthase
PF00850	424	Histone deacetylase domain
PF00852	381	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00853	64	Runt domain
PF00854	600	POT family
PF00855	521	PWWP domain
PF00856	1546	SET domain
PF00857	136	Isochorismatase family
PF00858	456	Amiloride-sensitive sodium channel
PF00859	53	CTF/NF-I family transcription modulation region
PF00860	217	Permease family
PF00861	53	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
PF00862	51	Sucrose synthase
PF00864	124	ATP P2X receptor
PF00865	10	Osteopontin
PF00867	201	XPG I-region
PF00868	152	Transglutaminase family
PF00870	59	P53 DNA-binding domain
PF00871	12	Acetokinase family
PF00873	12	AcrB/AcrD/AcrF family
PF00875	189	DNA photolyase
PF00876	140	Innexin
PF00877	2	NlpC/P60 family
PF00878	298	Cation-independent mannose-6-phosphate receptor repeat
PF00879	53	Defensin propeptide
PF00880	1349	Nebulin repeat
PF00881	53	Nitroreductase family
PF00882	13	Zinc dependent phospholipase C
PF00883	111	Cytosol aminopeptidase family, catalytic domain
PF00884	499	Sulfatase
PF00885	37	6,7-dimethyl-8-ribityllumazine synthase
PF00886	51	Ribosomal protein S16
PF00887	261	Acyl CoA binding protein
PF00888	345	Cullin family
PF00889	60	Elongation factor TS
PF00890	121	FAD binding domain
PF00891	250	O-methyltransferase domain
PF00892	880	EamA-like transporter family
PF00899	547	ThiF family
PF00900	69	Ribosomal family S4e
PF00902	9	Sec-independent protein translocase protein (TatC)
PF00903	242	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00904	38	Involucrin repeat
PF00905	1	Penicillin binding protein transpeptidase domain
PF00907	386	T-box
PF00908	6	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00909	286	Ammonium Transporter Family
PF00910	3	RNA helicase
PF00912	1	Transglycosylase
PF00916	446	Sulfate permease family
PF00917	575	MATH domain
PF00918	25	Gastrin/cholecystokinin family
PF00919	79	Uncharacterized protein family UPF0004
PF00920	31	Dehydratase family
PF00923	74	Transaldolase/Fructose-6-phosphate aldolase
PF00924	86	Mechanosensitive ion channel
PF00925	46	GTP cyclohydrolase II
PF00926	36	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00927	252	Transglutaminase family, C-terminal ig like domain
PF00928	315	Adaptor complexes medium subunit family
PF00929	400	Exonuclease
PF00930	166	Dipeptidyl peptidase IV (DPP IV) N-terminal region
PF00931	1684	NB-ARC domain
PF00932	96	Lamin Tail Domain
PF00933	223	Glycosyl hydrolase family 3 N terminal domain
PF00935	91	Ribosomal protein L44
PF00939	159	Sodium:sulfate symporter transmembrane region
PF00940	58	DNA-dependent RNA polymerase
PF00941	135	FAD binding domain in molybdopterin dehydrogenase
PF00950	1	ABC 3 transport family
PF00953	53	Glycosyl transferase family 4
PF00954	355	S-locus glycoprotein domain
PF00955	317	HCO3- transporter family
PF00956	209	Nucleosome assembly protein (NAP)
PF00957	370	Synaptobrevin
PF00958	56	GMP synthase C terminal domain
PF00959	6	Phage lysozyme
PF00961	1	LAGLIDADG endonuclease
PF00962	213	Adenosine/AMP deaminase
PF00963	2	Cohesin domain
PF00964	194	Elicitin
PF00965	77	Tissue inhibitor of metalloproteinase
PF00967	18	Barwin family
PF00969	68	Class II histocompatibility antigen, beta domain
PF00970	201	Oxidoreductase FAD-binding domain
PF00975	70	Thioesterase domain
PF00976	36	Corticotropin ACTH domain
PF00977	45	Histidine biosynthesis protein
PF00982	141	Glycosyltransferase family 20
PF00984	65	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00986	10	DNA gyrase B subunit, carboxyl terminus
PF00988	74	Carbamoyl-phosphate synthase small chain, CPSase domain
PF00989	548	PAS fold
PF00990	16	Diguanylate cyclase, GGDEF domain
PF00992	155	Troponin
PF00993	55	Class II histocompatibility antigen, alpha domain
PF00994	139	Probable molybdopterin binding domain
PF00995	315	Sec1 family
PF00996	175	GDP dissociation inhibitor
PF00997	6	Kappa casein
PF00999	536	Sodium/hydrogen exchanger family
PF01000	99	RNA polymerase Rpb3/RpoA insert domain
PF01007	267	Inward rectifier potassium channel transmembrane domain
PF01008	194	Initiation factor 2 subunit family
PF01011	23	PQQ enzyme repeat
PF01012	90	Electron transfer flavoprotein domain
PF01014	76	Uricase
PF01015	61	Ribosomal S3Ae family
PF01016	58	Ribosomal L27 protein
PF01017	101	STAT protein, all-alpha domain
PF01018	95	GTP1/OBG
PF01019	213	Gamma-glutamyltranspeptidase
PF01020	76	Ribosomal L40e family
PF01021	81	TYA transposon protein
PF01023	230	S-100/ICaBP type calcium binding domain
PF01025	74	GrpE
PF01026	143	TatD related DNase
PF01027	222	Inhibitor of apoptosis-promoting Bax1
PF01028	66	Eukaryotic DNA topoisomerase I, catalytic core
PF01029	12	NusB family
PF01030	502	Receptor L domain
PF01031	248	Dynamin central region
PF01033	219	Somatomedin B domain
PF01034	97	Syndecan domain
PF01035	46	6-O-methylguanine DNA methyltransferase, DNA binding domain
PF01036	21	Bacteriorhodopsin-like protein
PF01037	1	Lrp/AsnC ligand binding domain
PF01039	181	Carboxyl transferase domain
PF01040	157	UbiA prenyltransferase family
PF01041	14	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01042	128	Endoribonuclease L-PSP
PF01043	20	SecA preprotein cross-linking domain
PF01044	245	Vinculin family
PF01048	236	Phosphorylase superfamily
PF01049	334	Cadherin cytoplasmic region
PF01050	2	Mannose-6-phosphate isomerase
PF01053	139	Cys/Met metabolism PLP-dependent enzyme
PF01054	2	Mouse mammary tumour virus superantigen
PF01055	345	Glycosyl hydrolases family 31
PF01056	74	Myc amino-terminal region
PF01057	1	Parvovirus non-structural protein NS1
PF01058	55	NADH ubiquinone oxidoreductase, 20 Kd subunit
PF01060	117	Transthyretin-like family
PF01061	1266	ABC-2 type transporter
PF01062	205	Bestrophin, RFP-TM, chloride channel
PF01063	137	Amino-transferase class IV
PF01064	157	Activin types I and II receptor domain
PF01066	239	CDP-alcohol phosphatidyltransferase
PF01067	299	Calpain large subunit, domain III
PF01068	144	ATP dependent DNA ligase domain
PF01070	125	FMN-dependent dehydrogenase
PF01071	55	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01073	187	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074	173	Glycosyl hydrolases family 38 N-terminal domain
PF01075	1	Glycosyltransferase family 9 (heptosyltransferase)
PF01077	58	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	23	Magnesium chelatase, subunit ChlI
PF01079	85	Hint module
PF01080	89	Presenilin
PF01081	3	KDPG and KHG aldolase
PF01082	148	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF01083	32	Cutinase
PF01084	86	Ribosomal protein S18
PF01085	57	Hedgehog amino-terminal signalling domain
PF01086	68	Clathrin light chain
PF01087	38	Galactose-1-phosphate uridyl transferase, N-terminal domain
PF01088	148	Ubiquitin carboxyl-terminal hydrolase, family 1
PF01090	59	Ribosomal protein S19e
PF01091	36	PTN/MK heparin-binding protein family, C-terminal domain
PF01092	59	Ribosomal protein S6e
PF01093	26	Clusterin
PF01094	1795	Receptor family ligand binding region
PF01095	297	Pectinesterase
PF01096	204	Transcription factor S-II (TFIIS)
PF01097	8	Arthropod defensin
PF01098	1	Cell cycle protein
PF01099	63	Uteroglobin family
PF01101	59	HMG14 and HMG17
PF01102	8	Glycophorin A
PF01103	85	Surface antigen
PF01105	336	emp24/gp25L/p24 family/GOLD
PF01106	92	NifU-like domain
PF01108	150	Tissue factor
PF01109	7	Granulocyte-macrophage colony-stimulating factor
PF01110	13	Ciliary neurotrophic factor
PF01111	70	Cyclin-dependent kinase regulatory subunit
PF01112	155	Asparaginase
PF01113	26	Dihydrodipicolinate reductase, N-terminus
PF01114	12	Colipase, N-terminal domain
PF01115	45	F-actin capping protein, beta subunit
PF01116	24	Fructose-bisphosphate aldolase class-II
PF01117	20	Aerolysin toxin
PF01118	47	Semialdehyde dehydrogenase, NAD binding domain
PF01119	141	DNA mismatch repair protein, C-terminal domain
PF01120	90	Alpha-L-fucosidase
PF01121	74	Dephospho-CoA kinase
PF01122	36	Eukaryotic cobalamin-binding protein
PF01124	192	MAPEG family
PF01125	51	G10 protein
PF01126	56	Heme oxygenase
PF01127	47	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	27	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01129	76	NAD:arginine ADP-ribosyltransferase
PF01130	167	CD36 family
PF01131	92	DNA topoisomerase
PF01132	21	Elongation factor P (EF-P) OB domain
PF01133	45	Enhancer of rudimentary
PF01134	48	Glucose inhibited division protein A
PF01135	110	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	4	Peptidase family U32
PF01137	80	RNA 3'-terminal phosphate cyclase
PF01138	353	3' exoribonuclease family, domain 1
PF01139	35	tRNA-splicing ligase RtcB
PF01140	55	Matrix protein (MA), p15
PF01141	4	Gag polyprotein, inner coat protein p12
PF01142	85	tRNA pseudouridine synthase D (TruD)
PF01144	109	Coenzyme A transferase
PF01145	442	SPFH domain / Band 7 family
PF01146	68	Caveolin
PF01147	12	Crustacean CHH/MIH/GIH neurohormone family
PF01148	110	Cytidylyltransferase family
PF01149	35	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01150	218	GDA1/CD39 (nucleoside phosphatase) family
PF01151	304	GNS1/SUR4 family
PF01152	23	Bacterial-like globin
PF01153	129	Glypican
PF01154	64	Hydroxymethylglutaryl-coenzyme A synthase N terminal
PF01156	106	Inosine-uridine preferring nucleoside hydrolase
PF01157	68	Ribosomal protein L21e
PF01158	57	Ribosomal protein L36e
PF01159	56	Ribosomal protein L6e
PF01160	36	Vertebrate endogenous opioids neuropeptide
PF01161	176	Phosphatidylethanolamine-binding protein
PF01163	134	RIO1 family
PF01165	53	Ribosomal protein S21
PF01166	66	TSC-22/dip/bun family
PF01167	198	Tub family
PF01168	86	Alanine racemase, N-terminal domain
PF01169	145	Uncharacterized protein family UPF0016
PF01170	90	Putative RNA methylase family UPF0020
PF01171	87	PP-loop family
PF01172	52	Shwachman-Bodian-Diamond syndrome (SBDS) protein
PF01174	29	SNO glutamine amidotransferase family
PF01175	34	Urocanase Rossmann-like domain
PF01176	110	Translation initiation factor 1A / IF-1
PF01177	17	Asp/Glu/Hydantoin racemase
PF01179	121	Copper amine oxidase, enzyme domain
PF01180	87	Dihydroorotate dehydrogenase
PF01182	128	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	19	Glycosyl hydrolases family 25
PF01184	40	GPR1/FUN34/yaaH family
PF01185	7	Fungal hydrophobin
PF01186	101	Lysyl oxidase
PF01187	80	Macrophage migration inhibitory factor (MIF)
PF01189	289	16S rRNA methyltransferase RsmB/F
PF01190	137	Pollen proteins Ole e I like
PF01191	62	RNA polymerase Rpb5, C-terminal domain
PF01192	50	RNA polymerase Rpb6
PF01193	100	RNA polymerase Rpb3/Rpb11 dimerisation domain
PF01194	46	RNA polymerases N / 8 kDa subunit
PF01195	51	Peptidyl-tRNA hydrolase
PF01196	60	Ribosomal protein L17
PF01197	10	Ribosomal protein L31
PF01198	64	Ribosomal protein L31e
PF01199	58	Ribosomal protein L34e
PF01200	51	Ribosomal protein S28e
PF01201	104	Ribosomal protein S8e
PF01202	77	Shikimate kinase
PF01204	68	Trehalase
PF01205	64	Uncharacterized protein family UPF0029
PF01206	1	Sulfurtransferase TusA
PF01207	229	Dihydrouridine synthase (Dus)
PF01208	60	Uroporphyrinogen decarboxylase (URO-D)
PF01209	66	ubiE/COQ5 methyltransferase family
PF01210	106	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	73	Beta-eliminating lyase
PF01213	65	Adenylate cyclase associated (CAP) N terminal
PF01214	91	Casein kinase II regulatory subunit
PF01215	57	Cytochrome c oxidase subunit Vb
PF01216	41	Calsequestrin
PF01217	485	Clathrin adaptor complex small chain
PF01218	58	Coproporphyrinogen III oxidase
PF01220	5	Dehydroquinase class II
PF01221	196	Dynein light chain type 1
PF01222	99	Ergosterol biosynthesis ERG4/ERG24 family
PF01223	214	DNA/RNA non-specific endonuclease
PF01225	9	Mur ligase family, catalytic domain
PF01226	17	Formate/nitrite transporter
PF01227	62	GTP cyclohydrolase I
PF01228	4	Glycine radical
PF01229	25	Glycosyl hydrolases family 39
PF01230	143	HIT domain
PF01231	39	Indoleamine 2,3-dioxygenase
PF01232	6	Mannitol dehydrogenase Rossmann domain
PF01233	66	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
PF01234	114	NNMT/PNMT/TEMT family
PF01237	356	Oxysterol-binding protein
PF01238	59	Phosphomannose isomerase type I
PF01239	420	Protein prenyltransferase alpha subunit repeat
PF01241	16	Photosystem I psaG / psaK
PF01242	41	6-pyruvoyl tetrahydropterin synthase
PF01243	61	Pyridoxamine 5'-phosphate oxidase
PF01244	68	Membrane dipeptidase (Peptidase family M19)
PF01245	55	Ribosomal protein L19
PF01246	115	Ribosomal protein L24e
PF01247	65	Ribosomal protein L35Ae
PF01248	405	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF01249	52	Ribosomal protein S21e
PF01250	49	Ribosomal protein S6
PF01251	56	Ribosomal protein S7e
PF01252	1	Signal peptidase (SPase) II
PF01253	165	Translation initiation factor SUI1
PF01254	7	Nuclear transition protein 2
PF01255	97	Putative undecaprenyl diphosphate synthase
PF01256	54	Carbohydrate kinase
PF01257	45	Thioredoxin-like [2Fe-2S] ferredoxin
PF01258	1	Prokaryotic dksA/traR C4-type zinc finger
PF01259	48	SAICAR synthetase
PF01261	53	Xylose isomerase-like TIM barrel
PF01262	40	Alanine dehydrogenase/PNT, C-terminal domain
PF01263	180	Aldose 1-epimerase
PF01264	24	Chorismate synthase
PF01265	62	Cytochrome c/c1 heme lyase
PF01266	477	FAD dependent oxidoreductase
PF01267	68	F-actin capping protein alpha subunit
PF01268	82	Formate--tetrahydrofolate ligase
PF01269	57	Fibrillarin
PF01270	1	Glycosyl hydrolases family 8
PF01271	39	Granin (chromogranin or secretogranin)
PF01273	171	LBP / BPI / CETP family, N-terminal domain
PF01274	46	Malate synthase
PF01275	61	Myelin proteolipid protein (PLP or lipophilin)
PF01276	7	Orn/Lys/Arg decarboxylase, major domain
PF01277	46	Oleosin
PF01279	29	Parathyroid hormone family
PF01280	65	Ribosomal protein L19e
PF01281	48	Ribosomal protein L9, N-terminal domain
PF01282	61	Ribosomal protein S24e
PF01283	80	Ribosomal protein S26e
PF01284	499	Membrane-associating domain
PF01285	70	TEA/ATTS domain
PF01286	25	XPA protein N-terminal
PF01287	83	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
PF01288	28	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01290	115	Thymosin beta-4 family
PF01291	17	LIF / OSM family
PF01292	2	Prokaryotic cytochrome b561
PF01293	54	Phosphoenolpyruvate carboxykinase
PF01294	54	Ribosomal protein L13e
PF01296	21	Galanin
PF01299	97	Lysosome-associated membrane glycoprotein (Lamp)
PF01300	76	Telomere recombination
PF01301	172	Glycosyl hydrolases family 35
PF01302	478	CAP-Gly domain
PF01306	1	LacY proton/sugar symporter
PF01312	1	FlhB HrpN YscU SpaS Family
PF01315	139	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF01321	87	Creatinase/Prolidase N-terminal domain
PF01323	78	DSBA-like thioredoxin domain
PF01326	79	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01327	52	Polypeptide deformylase
PF01328	42	Peroxidase, family 2
PF01329	72	Pterin 4 alpha carbinolamine dehydratase
PF01330	1	RuvA N terminal domain
PF01331	86	mRNA capping enzyme, catalytic domain
PF01333	4	Apocytochrome F, C-terminal
PF01335	276	Death effector domain
PF01336	331	OB-fold nucleic acid binding domain
PF01339	1	CheB methylesterase
PF01341	53	Glycosyl hydrolases family 6
PF01342	134	SAND domain
PF01343	28	Peptidase family S49
PF01344	4758	Kelch motif
